time,EUR_USD
2017:01:13 2:30:00,1.06122
2017:01:13 3:00:00,1.06057
2017:01:13 3:30:00,1.06106
2017:01:13 4:00:00,1.06077
2017:01:13 4:30:00,1.06094
2017:01:13 5:00:00,1.06173
2017:01:13 5:30:00,1.06151
2017:01:13 6:00:00,1.06173
2017:01:13 6:30:00,1.0618
2017:01:13 7:00:00,1.06294
2017:01:13 7:30:00,1.06379
2017:01:13 8:00:00,1.06314
2017:01:13 8:30:00,1.06323
2017:01:13 9:00:00,1.06344
2017:01:13 9:30:00,1.06458
2017:01:13 10:00:00,1.06444
2017:01:13 10:30:00,1.06506
2017:01:13 11:00:00,1.0644
2017:01:13 11:30:00,1.06522
2017:01:13 12:00:00,1.0646
2017:01:13 12:30:00,1.0644
2017:01:13 13:00:00,1.06454
2017:01:13 13:30:00,1.06606
2017:01:13 14:00:00,1.06457
2017:01:13 14:30:00,1.06396
2017:01:13 15:00:00,1.06054
2017:01:13 15:30:00,1.06194
2017:01:13 16:00:00,1.06231
2017:01:13 16:30:00,1.06138
2017:01:13 17:00:00,1.06246
2017:01:13 17:30:00,1.06376
2017:01:13 18:00:00,1.06376
2017:01:13 18:30:00,1.06354
2017:01:13 19:00:00,1.06319
2017:01:13 19:30:00,1.06442
2017:01:13 20:00:00,1.0644
2017:01:13 20:30:00,1.06416
2017:01:13 21:00:00,1.06368
2017:01:13 21:30:00,1.06442
2017:01:15 22:00:00,1.06051
2017:01:15 22:30:00,1.06158
2017:01:15 23:00:00,1.0623
2017:01:15 23:30:00,1.06351
2017:01:16 0:00:00,1.06275
2017:01:16 0:30:00,1.06302
2017:01:16 1:00:00,1.06292
2017:01:16 1:30:00,1.0628
2017:01:16 2:00:00,1.06206
2017:01:16 2:30:00,1.06208
2017:01:16 3:00:00,1.0622
2017:01:16 3:30:00,1.06166
2017:01:16 4:00:00,1.06106
2017:01:16 4:30:00,1.06121
2017:01:16 5:00:00,1.06148
2017:01:16 5:30:00,1.06178
2017:01:16 6:00:00,1.06205
2017:01:16 6:30:00,1.06202
2017:01:16 7:00:00,1.06179
2017:01:16 7:30:00,1.06074
2017:01:16 8:00:00,1.06136
2017:01:16 8:30:00,1.05979
2017:01:16 9:00:00,1.05834
2017:01:16 9:30:00,1.05817
2017:01:16 10:00:00,1.05896
2017:01:16 10:30:00,1.0594
2017:01:16 11:00:00,1.05859
2017:01:16 11:30:00,1.05936
2017:01:16 12:00:00,1.05936
2017:01:16 12:30:00,1.05912
2017:01:16 13:00:00,1.05912
2017:01:16 13:30:00,1.05981
2017:01:16 14:00:00,1.05931
2017:01:16 14:30:00,1.06019
2017:01:16 15:00:00,1.06067
2017:01:16 15:30:00,1.06072
2017:01:16 16:00:00,1.06062
2017:01:16 16:30:00,1.06008
2017:01:16 17:00:00,1.06
2017:01:16 17:30:00,1.06046
2017:01:16 18:00:00,1.06046
2017:01:16 18:30:00,1.06016
2017:01:16 19:00:00,1.05992
2017:01:16 19:30:00,1.0603
2017:01:16 20:00:00,1.06028
2017:01:16 20:30:00,1.05977
2017:01:16 21:00:00,1.05988
2017:01:16 21:30:00,1.06021
2017:01:16 22:00:00,1.06006
2017:01:16 22:30:00,1.0603
2017:01:16 23:00:00,1.05984
2017:01:16 23:30:00,1.0602
2017:01:17 0:00:00,1.06026
2017:01:17 0:30:00,1.06127
2017:01:17 1:00:00,1.06064
2017:01:17 1:30:00,1.06022
2017:01:17 2:00:00,1.06025
2017:01:17 2:30:00,1.0612
2017:01:17 3:00:00,1.062
2017:01:17 3:30:00,1.06237
2017:01:17 4:00:00,1.06242
2017:01:17 4:30:00,1.06352
2017:01:17 5:00:00,1.064
2017:01:17 5:30:00,1.0648
2017:01:17 6:00:00,1.06572
2017:01:17 6:30:00,1.06537
2017:01:17 7:00:00,1.06547
2017:01:17 7:30:00,1.06458
2017:01:17 8:00:00,1.06549
2017:01:17 8:30:00,1.0661
2017:01:17 9:00:00,1.06633
2017:01:17 9:30:00,1.06748
2017:01:17 10:00:00,1.06785
2017:01:17 10:30:00,1.06602
2017:01:17 11:00:00,1.068
2017:01:17 11:30:00,1.06996
2017:01:17 12:00:00,1.07098
2017:01:17 12:30:00,1.07038
2017:01:17 13:00:00,1.0684
2017:01:17 13:30:00,1.06754
2017:01:17 14:00:00,1.06916
2017:01:17 14:30:00,1.0707
2017:01:17 15:00:00,1.07153
2017:01:17 15:30:00,1.07001
2017:01:17 16:00:00,1.06944
2017:01:17 16:30:00,1.07018
2017:01:17 17:00:00,1.06948
2017:01:17 17:30:00,1.07036
2017:01:17 18:00:00,1.06994
2017:01:17 18:30:00,1.06989
2017:01:17 19:00:00,1.07036
2017:01:17 19:30:00,1.07093
2017:01:17 20:00:00,1.07092
2017:01:17 20:30:00,1.0707
2017:01:17 21:00:00,1.07048
2017:01:17 21:30:00,1.07092
2017:01:17 22:00:00,1.07114
2017:01:17 22:30:00,1.0711
2017:01:17 23:00:00,1.07106
2017:01:17 23:30:00,1.07034
2017:01:18 0:00:00,1.06966
2017:01:18 0:30:00,1.07048
2017:01:18 1:00:00,1.07095
2017:01:18 1:30:00,1.0697
2017:01:18 2:00:00,1.06987
2017:01:18 2:30:00,1.06889
2017:01:18 3:00:00,1.06936
2017:01:18 3:30:00,1.06974
2017:01:18 4:00:00,1.06976
2017:01:18 4:30:00,1.06949
2017:01:18 5:00:00,1.06974
2017:01:18 5:30:00,1.06878
2017:01:18 6:00:00,1.06848
2017:01:18 6:30:00,1.0686
2017:01:18 7:00:00,1.06806
2017:01:18 7:30:00,1.068
2017:01:18 8:00:00,1.06782
2017:01:18 8:30:00,1.0697
2017:01:18 9:00:00,1.06912
2017:01:18 9:30:00,1.06908
2017:01:18 10:00:00,1.06954
2017:01:18 10:30:00,1.06846
2017:01:18 11:00:00,1.06854
2017:01:18 11:30:00,1.06843
2017:01:18 12:00:00,1.06868
2017:01:18 12:30:00,1.06856
2017:01:18 13:00:00,1.0666
2017:01:18 13:30:00,1.06634
2017:01:18 14:00:00,1.06688
2017:01:18 14:30:00,1.06767
2017:01:18 15:00:00,1.0684
2017:01:18 15:30:00,1.06938
2017:01:18 16:00:00,1.06954
2017:01:18 16:30:00,1.06858
2017:01:18 17:00:00,1.06824
2017:01:18 17:30:00,1.06841
2017:01:18 18:00:00,1.06832
2017:01:18 18:30:00,1.06758
2017:01:18 19:00:00,1.06666
2017:01:18 19:30:00,1.06662
2017:01:18 20:00:00,1.06723
2017:01:18 20:30:00,1.06361
2017:01:18 21:00:00,1.0638
2017:01:18 21:30:00,1.06373
2017:01:18 22:00:00,1.06314
2017:01:18 22:30:00,1.06307
2017:01:18 23:00:00,1.0634
2017:01:18 23:30:00,1.06296
2017:01:19 0:00:00,1.06278
2017:01:19 0:30:00,1.06325
2017:01:19 1:00:00,1.06258
2017:01:19 1:30:00,1.06291
2017:01:19 2:00:00,1.06278
2017:01:19 2:30:00,1.06382
2017:01:19 3:00:00,1.06373
2017:01:19 3:30:00,1.0642
2017:01:19 4:00:00,1.06386
2017:01:19 4:30:00,1.06384
2017:01:19 5:00:00,1.06406
2017:01:19 5:30:00,1.06376
2017:01:19 6:00:00,1.06392
2017:01:19 6:30:00,1.06378
2017:01:19 7:00:00,1.0642
2017:01:19 7:30:00,1.06376
2017:01:19 8:00:00,1.06417
2017:01:19 8:30:00,1.06518
2017:01:19 9:00:00,1.06548
2017:01:19 9:30:00,1.06643
2017:01:19 10:00:00,1.0661
2017:01:19 10:30:00,1.06565
2017:01:19 11:00:00,1.06556
2017:01:19 11:30:00,1.06584
2017:01:19 12:00:00,1.0664
2017:01:19 12:30:00,1.06622
2017:01:19 13:00:00,1.06687
2017:01:19 13:30:00,1.06677
2017:01:19 14:00:00,1.06196
2017:01:19 14:30:00,1.0614
2017:01:19 15:00:00,1.05912
2017:01:19 15:30:00,1.06004
2017:01:19 16:00:00,1.06095
2017:01:19 16:30:00,1.06314
2017:01:19 17:00:00,1.06296
2017:01:19 17:30:00,1.0627
2017:01:19 18:00:00,1.0632
2017:01:19 18:30:00,1.0637
2017:01:19 19:00:00,1.06264
2017:01:19 19:30:00,1.06397
2017:01:19 20:00:00,1.06596
2017:01:19 20:30:00,1.06592
2017:01:19 21:00:00,1.06604
2017:01:19 21:30:00,1.06628
2017:01:19 22:00:00,1.06626
2017:01:19 22:30:00,1.06602
2017:01:19 23:00:00,1.06587
2017:01:19 23:30:00,1.06603
2017:01:20 0:00:00,1.06592
2017:01:20 0:30:00,1.06546
2017:01:20 1:00:00,1.06536
2017:01:20 1:30:00,1.06718
2017:01:20 2:00:00,1.06812
2017:01:20 2:30:00,1.06754
2017:01:20 3:00:00,1.06776
2017:01:20 3:30:00,1.06918
2017:01:20 4:00:00,1.06848
2017:01:20 4:30:00,1.06805
2017:01:20 5:00:00,1.06801
2017:01:20 5:30:00,1.0681
2017:01:20 6:00:00,1.06727
2017:01:20 6:30:00,1.06808
2017:01:20 7:00:00,1.06826
2017:01:20 7:30:00,1.06845
2017:01:20 8:00:00,1.06718
2017:01:20 8:30:00,1.06646
2017:01:20 9:00:00,1.06637
2017:01:20 9:30:00,1.06588
2017:01:20 10:00:00,1.0646
2017:01:20 10:30:00,1.06408
2017:01:20 11:00:00,1.06374
2017:01:20 11:30:00,1.06318
2017:01:20 12:00:00,1.06384
2017:01:20 12:30:00,1.06435
2017:01:20 13:00:00,1.06274
2017:01:20 13:30:00,1.06448
2017:01:20 14:00:00,1.06564
2017:01:20 14:30:00,1.06638
2017:01:20 15:00:00,1.06552
2017:01:20 15:30:00,1.06756
